| Benchmark        | Total Vertices | OPT(I) | A(I) | Approx Ratio |
|------------------|----------------|--------|------|---------------|
| jhonson8_2_4     | 28             | 24     | 24   | 1.0000        |
| graph50_6        | 50             | 38     | 38   | 1.0000        |
| graph50_10       | 50             | 35     | 35   | 1.0000        |
| Hamming6_2       | 64             | 32     |      |               |
| Hamming6_4       | 64             | 60     | 248  | 4.1333        |
| jhonson8_4_2     | 70             | 68     | 62   | 0.9118        |
| graph100_1       | 100            | 60     | 60   | 1.0000        |
| graph100_2       | 100            | 60     | 70   | 1.1667        |
| jhonson16_2_4    | 120            | 112    | 112  | 1.0000        |
| c125             | 125            | 91     | 93   | 1.0220        |
| keller4_c        | 171            | 150    | 164  | 1.0933        |
| graph200_5       | 200            | 150    | 150  | 1.0000        |
| broc200_2        | 200            | 188    | 193  | 1.0266        |
| broc200_4        | 200            | 183    | 195  | 1.0656        |
| cfat200_1        | 200            | 192    | 188  | 0.9792        |
| cfat200_2        | 200            | 176    | 176  | 1.0000        |
| cfat200_5        | 200            | 142    | 142  | 1.0000        |
| sanr200-0.7      | 200            | 182    | 184  | 1.0110        |
| gen200_p0.9_44   | 200            | 156    | 196  | 1.2564        |
| C250             | 250            | 206    | 211  | 1.0243        |
| Hamming8_2       | 256            | 128    |      |               |
| Hamming8_4       | 256            | 240    | 248  | 1.0333        |
| phat300_1        | 300            | 292    | 265  | 0.9075        |
| phat300_1_c      | 300            | 275    | 276  | 1.0036        |
| manna_27         | 378            | 252    | 375  | 1.4881        |
| sanr400_0.5      | 400            | 387    | 392  | 1.0129        |
| sanr400_0.7      | 400            | 379    | 384  | 1.0132        |
| jhonson32_2_4_c  | 496            | 482    | 480  | 0.9959        |
| graph500_1       | 500            | 350    | 350  | 1.0000        |
| graph500_2       | 500            | 404    | 400  | 0.9901        |
| graph500_5       | 500            | 290    | 290  | 1.0000        |
| cfat500_1        | 500            | 486    | 486  | 1.0000        |
